,Date,Won
187,2021-06-23 (수),79691.0
188,2021-06-24 (목),357190.0
189,2021-06-24 (목),13220.0
190,2021-06-25 (금),40507.0
191,2021-06-25 (금),12114.0
192,2021-06-28 (월),83999.0
193,2021-06-29 (화),85868.0
194,2021-06-30 (수),126093.0
195,2021-06-30 (수),4352.0
196,2021-07-01 (목),201157.0
197,2021-07-01 (목),7450.0
198,2021-07-05 (월),118180.0
199,2021-07-06 (화),64694.0
200,2021-07-07 (수),26610.0
201,2021-07-07 (수),67734.0
202,2021-07-08 (목),8494.0
203,2021-07-08 (목),203939.0
204,2021-07-08 (목),21466.0
205,2021-07-09 (금),103482.0
206,2021-07-12 (월),17993.0
207,2021-07-12 (월),44195.0
208,2021-07-12 (월),8028.0
209,2021-07-13 (화),23272.0
210,2021-07-13 (화),64008.0
211,2021-07-13 (화),14018.0
212,2021-07-14 (수),7603.0
213,2021-07-14 (수),77910.0
214,2021-07-15 (목),65043.0
215,2021-07-15 (목),358500.0
216,2021-07-15 (목),24260.0
217,2021-07-16 (금),6761.0
218,2021-07-16 (금),31901.0
219,2021-07-19 (월),7511.0
220,2021-07-19 (월),77762.0
221,2021-07-20 (화),8492.0
222,2021-07-20 (화),13350.0
223,2021-07-20 (화),23918.0
224,2021-07-21 (수),20825.0
225,2021-07-21 (수),116561.0
226,2021-07-22 (목),51024.0
227,2021-07-22 (목),282091.0
228,2021-07-22 (목),21717.0
229,2021-07-23 (금),0.0
230,2021-07-23 (금),0.0
231,2021-07-26 (월),23886.0
232,2021-07-26 (월),98857.0
233,2021-07-27 (화),24108.0
234,2021-07-27 (화),119309.0
235,2021-07-28 (수),94981.0
236,2021-07-29 (목),62603.0
237,2021-07-29 (목),474338.0
238,2021-07-29 (목),34240.0
239,2021-08-02 (월),19011.0
240,2021-08-02 (월),118587.0
241,2021-08-03 (화),7153.0
242,2021-08-03 (화),66375.0
243,2021-08-03 (화),11654.0
244,2021-08-04 (수),10486.0
245,2021-08-04 (수),21360.0
246,2021-08-04 (수),136250.0
247,2021-08-05 (목),78769.0
248,2021-08-05 (목),407839.0
249,2021-08-05 (목),38174.0
250,2021-08-11 (수),46167.0
251,2021-08-11 (수),155356.0
252,2021-08-11 (수),9912.0
253,2021-08-12 (목),55023.0
254,2021-08-12 (목),345751.0
255,2021-08-12 (목),20441.0
256,2021-08-17 (화),21094.0
257,2021-08-17 (화),77211.0
258,2021-08-17 (화),3385.0
259,2021-08-18 (수),10372.0
260,2021-08-18 (수),51860.0
261,2021-08-18 (수),3868.0
262,2021-08-19 (목),20020.0
263,2021-08-19 (목),120498.0
264,2021-08-20 (금),75767.0
265,2021-08-20 (금),216123.0
266,2021-08-23 (월),14038.0
267,2021-08-23 (월),112276.0
268,2021-08-23 (월),12244.0
269,2021-08-24 (화),17499.0
270,2021-08-24 (화),92905.0
271,2021-08-24 (화),4019.0
272,2021-08-25 (수),135605.0
273,2021-08-26 (목),48726.0
274,2021-08-26 (목),405866.0
275,2021-08-26 (목),23591.0
276,2021-08-30 (월),16608.0
277,2021-08-30 (월),117317.0
278,2021-08-30 (월),15967.0
279,2021-08-31 (화),13284.0
280,2021-08-31 (화),51952.0
281,2021-09-01 (수),15500.0
282,2021-09-01 (수),101590.0
283,2021-09-02 (목),112024.0
284,2021-09-02 (목),318488.0
285,2021-09-03 (금),19362.0
286,2021-09-03 (금),21360.0
287,2021-09-03 (금),65707.0
