날짜,검사수,검사수 증가량,영업 제한 시각,평균기온(°C),일강수량(mm),Won
20210101,0.0,0.7716459832048378,0.0,0.22961373390557943,0.0,0.0
20210102,0.0028892912676042326,0.45703763148089765,0.0,0.2124463519313305,0.0,0.0
20210103,0.006171909982724821,0.5223553351867243,0.0,0.1995708154506438,0.0,0.0
20210104,0.00925864161889367,0.48982545642142666,0.0,0.2446351931330472,0.0,0.1905747554386388
20210105,0.014673754384699256,0.8764867730933478,0.0,0.20171673819742492,0.0,0.16117322314402685
20210106,0.020326520461268316,0.9159525379037573,0.0,0.1609442060085837,0.029715762273901804,0.1165486902558453
20210107,0.02593070309050266,0.9078845547562407,0.0,0.00858369098712447,0.0,0.11486601958932308
20210108,0.03112524873128597,0.839858416210484,0.0,0.0,0.0,0.1923577531025075
20210109,0.03626939875351959,0.8314894958585307,0.0,0.05793991416309019,0.0,0.0
20210110,0.03919018728271739,0.46226820670086843,0.0,0.15450643776824036,0.0,0.0
20210111,0.04162557280790491,0.38166002694104495,0.0,0.17596566523605153,0.0,0.18395927715733562
20210112,0.047010310132392874,0.8714424923332663,0.0,0.23605150214592277,0.03359173126614987,0.3488098852991576
20210113,0.05203494314830576,0.8116419707087786,0.0,0.3626609442060086,0.0,0.0
20210114,0.05661257393119218,0.7374107936143991,0.0,0.3562231759656653,0.0,0.11475987515201638
20210115,0.061161555150108626,0.7326531197156859,0.0,0.4163090128755365,0.002583979328165375,0.0
20210116,0.06583833758661423,0.7538763578000056,0.0,0.2145922746781116,0.0,0.0
20210117,0.06834258561797063,0.3930956407096386,0.0,0.20171673819742492,0.0,0.0
20210118,0.07058018559912405,0.34881488062824223,0.0,0.2381974248927039,0.0038759689922480615,0.04737875692179988
20210119,0.07516290772018591,0.7382562838554354,0.0,0.184549356223176,0.0,0.21198903803575764
20210120,0.07963327522591951,0.7195981771803616,0.0,0.3175965665236052,0.0,0.11855217843099258
20210121,0.083557834020477,0.628958757272649,0.0,0.4163090128755365,0.11886304909560721,0.07942236063702685
20210122,0.08740809379522069,0.6166203318907454,0.0,0.43776824034334766,0.0012919896640826874,0.18613595338113426
20210123,0.09150567179387431,0.6576910951248172,0.0,0.48283261802575106,0.0,0.0
20210124,0.09363212527384279,0.33035739875612624,0.0,0.47639484978540775,0.0,0.0
20210125,0.09550789506907348,0.2887277521423863,0.0,0.4892703862660944,0.0,0.21545508783762135
20210126,0.0995358339167518,0.6461265082686078,0.0,0.4334763948497854,0.021963824289405683,0.1664649954147129
20210127,0.1035471180480258,0.6433607520564042,0.0,0.3562231759656653,0.0,0.19752287684422384
20210128,0.1081156879748374,0.7359061075922156,0.0,0.26394849785407726,0.025839793281653745,0.13441299932708434
20210129,0.11217797178173278,0.6518299848098362,0.0,0.13090128755364808,0.0,0.11444144184009632
20210130,0.11625673771729766,0.6545670803359032,0.0,0.2854077253218884,0.006459948320413436,0.0
20210131,0.11835281575594853,0.32531311799604484,0.0,0.388412017167382,0.0,0.0
20210201,0.12016705802373756,0.27851021753460775,0.0,0.4270386266094421,0.00904392764857881,0.10061920449464949
20210202,0.12444473132361245,0.6875985211085952,0.0,0.1995708154506438,0.0,0.07604710104568961
20210203,0.1283539298097764,0.6264079562064715,0.0,0.2510729613733906,0.04392764857881137,0.15608134192508816
20210204,0.13235632567271033,0.6418847267203576,0.0,0.2424892703862661,0.0012919896640826874,0.3702501079564268
20210205,0.1361604182284059,0.6089535983491444,0.0,0.3497854077253219,0.0,0.1137013871828637
20210206,0.14014503755465962,0.6389326760482645,0.0,0.4656652360515022,0.0,0.0
20210207,0.1421834712899009,0.3157404488263449,0.0,0.39699570815450647,0.0,0.0
20210208,0.14401471344956368,0.28133329511908517,0.0,0.2532188841201717,0.0,0.1356787216738358
20210209,0.1482611483694472,0.6824109369178297,0.0,0.30042918454935624,0.0,0.0822231241903268
20210210,0.15193882040943157,0.5879596457539192,0.0,0.39270386266094426,0.0,0.37644520467470405
20210211,0.15538928069660546,0.5502278524547877,0.0,0.43776824034334766,0.0,0.0
20210212,0.15740519173246065,0.3120002292854891,0.0,0.4592274678111588,0.0,0.0
20210213,0.15930089541105613,0.2920380613911897,0.0,0.48283261802575106,0.0,0.0
20210214,0.1614365823348342,0.3318907454644464,0.0,0.5236051502145923,0.0,0.0
20210215,0.16340183887053755,0.3035883179043306,0.0,0.3454935622317597,0.01808785529715762,0.0
20210216,0.16777089737596745,0.7027743544180447,0.16666666666666652,0.2103004291845494,0.01937984496124031,0.12069604810813038
20210217,0.17183335377059755,0.651858645495973,0.16666666666666652,0.14163090128755365,0.0,0.08919642271311667
20210218,0.17551352833273598,0.5883752257029032,0.16666666666666652,0.19527896995708158,0.0,0.11468026682403637
20210219,0.1792050073915012,0.5902525006448653,0.16666666666666652,0.35407725321888417,0.0,0.13175643199050288
20210220,0.1830570793374598,0.6169212690951821,0.16666666666666652,0.5085836909871245,0.0,0.0
20210221,0.1848441390370243,0.27399615946805767,0.16666666666666652,0.5515021459227468,0.0,0.0
20210222,0.186380515051851,0.23236651285431775,0.16666666666666652,0.4871244635193133,0.0,0.1791695213448548
20210223,0.19013731856822252,0.6011005703476541,0.16666666666666652,0.3197424892703863,0.0,0.09820983067244266
20210224,0.19344315033366816,0.5262101974721274,0.16666666666666652,0.38197424892703863,0.0,0.12960874759863708
20210225,0.19691432114901325,0.5536671347912069,0.16666666666666652,0.40987124463519314,0.0,0.36585937130449514
20210226,0.200267010484446,0.5339915737582757,0.16666666666666652,0.4957081545064378,0.0,0.07867238772150141
